Unnamed: 0,stationTriplet,stationId,stateCode,networkCode,name,dcoCode,countyName,huc,elevation,latitude,longitude,dataTimeZone,pedonCode,shefId,beginDate,endDate,silt_0_30cm,clay_0_30cm,nitrogen_0_30cm,sand_0_30cm,soc_0_30cm
1149,2077:TN:SCAN,2077,TN,SCAN,Eastview Farm,GC,Franklin,60300030602,1050,35.13905,-86.19113,-6,30330,EAST1,2003-06-04 00:00,2100-01-01 00:00,646.67,271.0,195.0,82.0,229.0
1200,2220:MO:SCAN,2220,MO,SCAN,Elsberry PMC,GC,Lincoln,71100041104,490,39.15321,-90.78279,-6,72143,EBYM7,2015-08-04 00:00,2100-01-01 00:00,684.0,257.33,215.0,59.0,198.67
1222,2128:UT:SCAN,2128,UT,SCAN,Enterprise,GC,Iron,160300061307,5240,37.63343,-113.64324,-7,34115,ENPU1,2007-05-11 00:00,2100-01-01 00:00,261.0,253.67,109.67,485.0,96.67
1224,2126:UT:SCAN,2126,UT,SCAN,Ephraim,GC,Sanpete,160300040303,5540,39.36798,-111.57803,-7,34109,EPMU1,2007-05-09 00:00,2100-01-01 00:00,403.0,434.33,253.67,162.67,221.67
1226,2072:SD:SCAN,2072,SD,SCAN,Eros Data Center,GC,Minnehaha,101702031402,1600,43.73835,-96.61455,-6,29691,EROS2,2003-05-01 00:00,2100-01-01 00:00,561.0,330.33,276.33,108.33,275.67
1229,2185:CA:SCAN,2185,CA,SCAN,Essex,GC,San Bernardino,181001003308,2650,34.67235,-115.16693,-8,70988,EXCC1,2011-11-19 00:00,2100-01-01 00:00,216.0,123.67,29.67,660.0,25.33
1241,2051:FL:SCAN,2051,FL,SCAN,Everglades ARS,GC,Miami-Dade,30902061603,10,25.5,-80.55,-5,23291,EARF1,1999-02-01 00:00,2100-01-01 00:00,325.33,381.33,738.67,293.33,514.33
1331,2184:CA:SCAN,2184,CA,SCAN,Ford Dry Lake,GC,Riverside,181001005405,380,33.6547,-115.09763,-8,,RDLC1,2011-11-16 13:00,2100-01-01 00:00,271.33,200.0,47.33,528.67,26.33
1337,2019:MT:SCAN,2019,MT,SCAN,Fort Assiniboine #1,GC,Hill,100500040103,2710,48.49086,-109.8004,-7,19462,FASM8,1991-10-01 00:00,2100-01-01 00:00,383.0,248.0,154.67,369.0,150.33
1346,2022:OK:SCAN,2022,OK,SCAN,Fort Reno #1,GC,Canadian,111003010606,1380,35.55,-98.01667,-6,27115,FTRO2,1998-11-10 14:00,2100-01-01 00:00,485.67,311.67,211.67,203.0,159.0
1351,2122:PR:SCAN,2122,PR,SCAN,Fortuna,GC,Juana Diaz,210100040313,70,18.02502,-66.5279,-4,,FORP4,2006-11-08 00:00,2100-01-01 00:00,326.33,383.33,163.67,290.0,198.0
1378,2218:CA:SCAN,2218,CA,SCAN,French Gulch,GC,Shasta,180201540102,3760,40.79361,-122.55083,-8,,FGLC1,2014-10-22 00:00,2100-01-01 00:00,286.0,235.0,274.33,479.0,398.0
1420,2011:NY:SCAN,2011,NY,SCAN,Geneva #1,GC,Ontario,41402010904,700,42.88333,-77.03333,-5,18821,GVAN6,1993-10-01 00:00,2100-01-01 00:00,397.0,180.0,285.67,423.0,228.0
1451,2050:MN:SCAN,2050,MN,SCAN,Glacial Ridge,GC,Polk,90203030503,1140,47.71667,-96.26667,-6,28526,GLRM5,2001-09-25 00:00,2100-01-01 00:00,141.0,89.33,247.0,769.33,339.67
1476,2024:MS:SCAN,2024,MS,SCAN,Goodwin Ck Pasture,GC,Panola,80302030403,320,34.25,-89.86667,-6,29368,GCPM6,1999-01-27 00:00,2100-01-01 00:00,769.0,209.0,141.67,22.0,183.33
1477,2025:MS:SCAN,2025,MS,SCAN,Goodwin Ck Timber,GC,Panola,80302030402,330,34.23595,-89.89828,-6,29369,GCTM6,1999-01-27 00:00,2100-01-01 00:00,840.67,148.67,160.0,10.67,184.0
1484,2165:UT:SCAN,2165,UT,SCAN,Goshute,GC,Tooele,160203060808,5490,39.99003,-114.00025,-7,43930,GSHU1,2010-03-01 00:00,2100-01-01 00:00,460.33,192.67,79.67,346.67,76.67
1513,2152:UT:SCAN,2152,UT,SCAN,Grantsville,GC,Tooele,160203040503,4340,40.59089,-112.39258,-7,40644,GTVU1,2009-08-27 00:00,2100-01-01 00:00,425.33,305.67,188.67,269.33,167.0
1553,2131:UT:SCAN,2131,UT,SCAN,Green River,GC,Emery,140600080208,4100,39.01825,-110.16264,-7,34110,GREU1,2005-05-15 00:00,2100-01-01 00:00,348.33,176.0,144.0,475.67,128.33
1573,2160:UT:SCAN,2160,UT,SCAN,Grouse Creek,GC,Box Elder,160203080103,5820,41.77846,-113.82048,-7,43921,GRSU1,2010-05-04 00:00,2100-01-01 00:00,446.0,216.67,188.67,337.0,184.67
1577,2045:PR:SCAN,2045,PR,SCAN,Guilarte Forest,GC,Adjuntas,210100020401,3330,18.14638,-66.76718,-4,28517,GUIP4,2001-05-08 00:00,2100-01-01 00:00,402.0,428.0,451.33,170.0,647.33
1602,2164:UT:SCAN,2164,UT,SCAN,Hals Canyon,GC,Millard,160203020303,5250,38.59445,-113.75102,-7,43928,HALU1,2010-03-09 00:00,2100-01-01 00:00,176.67,107.67,49.0,716.33,48.0
1621,2166:UT:SCAN,2166,UT,SCAN,Harms Way,GC,San Juan,140300020802,7060,38.31347,-109.23998,-7,43929,HWYU1,2010-03-03 00:00,2100-01-01 00:00,359.0,268.0,190.0,373.0,206.0
1700,2055:AL:SCAN,2055,AL,SCAN,Hodges,GC,Marshall,60300010705,660,34.44486,-86.16517,-6,27980,HDGA1,2002-02-23 00:00,2100-01-01 00:00,626.33,200.0,198.67,174.33,232.33
1704,2127:UT:SCAN,2127,UT,SCAN,Holden,GC,Millard,160300051502,4750,39.19216,-112.40155,-7,34114,HLDU1,2007-05-10 00:00,2100-01-01 00:00,351.0,194.33,135.0,454.67,154.33
1749,2069:NH:SCAN,2069,NH,SCAN,Hubbard Brook,GC,Grafton,10700010205,1480,43.94843,-71.72644,-5,,HUBN3,2002-09-26 00:00,2100-01-01 00:00,364.67,72.33,752.0,563.0,1077.67
1814,2052:PR:SCAN,2052,PR,SCAN,Isabela,GC,Isabela,210100020507,390,18.47022,-67.04372,-4,9774,ISSP4,2003-08-12 00:00,2100-01-01 00:00,90.67,639.67,263.0,270.0,232.33
1815,2173:AL:SCAN,2173,AL,SCAN,Isbell Farms,GC,Colbert,60300051002,610,34.81982,-87.98685,-6,70252,ISBA1,2010-04-08 00:00,2100-01-01 00:00,587.0,261.67,167.33,151.0,189.67
1866,2111:NE:SCAN,2111,NE,SCAN,Johnson Farm,GC,Chase,102500040102,3330,40.37042,-101.7201,-7,32413,JOFN1,2005-10-26 00:00,2100-01-01 00:00,429.33,199.0,144.67,371.33,135.67
1874,2121:MT:SCAN,2121,MT,SCAN,Jordan,GC,Garfield,100401041801,2810,47.522,-107.12731,-7,34592,JRDM8,2007-06-06 00:00,2100-01-01 00:00,522.67,333.67,159.33,144.0,172.0
1877,2148:ID:SCAN,2148,ID,SCAN,Jordan Valley Cwma,GC,Owyhee,170501080405,4500,42.94863,-117.0106,-7,,JVCI1,2008-12-10 00:00,2100-01-01 00:00,425.67,290.33,169.67,284.0,194.33
1879,2168:NM:SCAN,2168,NM,SCAN,Jornada Exp Range,GC,Dona Ana,130301030502,4350,32.5566,-106.69997,-7,40726,JERN5,2009-10-19 00:00,2100-01-01 00:00,160.67,210.67,71.0,629.0,78.0
1881,2194:MO:SCAN,2194,MO,SCAN,Journagan Ranch,GC,Douglas,110100060102,1100,36.9973,-92.2594,-6,59534,JOUM7,2012-07-24 00:00,2100-01-01 00:00,696.0,163.0,161.67,141.33,164.0
1892,2096:HI:SCAN,2096,HI,SCAN,Kainaliu,GC,Hawaii,200100001102,1350,19.53322,-155.92914,-10,32495,KXXH1,2005-02-10 00:00,2100-01-01 00:00,319.0,356.0,300.0,325.33,392.33
1903,2212:AK:SCAN,2212,AK,SCAN,Kanuti Lake,AK,Yukon-Koyukuk,190901040707,520,66.177,-151.742,-9,72130,KATA2,2014-08-25 00:00,2100-01-01 00:00,,,,,
1950,2206:TX:SCAN,2206,TX,SCAN,Kingsville,GC,Kleberg,121102040409,70,27.54945,-97.88223,-6,66052,KGVT2,2013-09-16 00:00,2100-01-01 00:00,206.67,312.0,143.33,481.33,163.33
1962,2201:TX:SCAN,2201,TX,SCAN,Knox City,GC,Knox,120601010206,1460,33.44635,-99.86657,-6,66053,KNXT2,2013-09-12 00:00,2100-01-01 00:00,196.0,170.33,100.67,633.0,91.33
1969,2180:AL:SCAN,2180,AL,SCAN,Koptis Farms,GC,Baldwin,31602050202,130,30.5238,-87.69797,-6,55484,KOPA1,2010-05-07 00:00,2100-01-01 00:00,179.67,152.67,276.0,667.33,191.33
1973,2147:KS:SCAN,2147,KS,SCAN,Ku-Nesa,GC,Jefferson,102701040502,1090,39.05141,-95.19128,-6,35224,KUNK1,2008-08-20 00:00,2100-01-01 00:00,609.67,341.0,272.0,49.33,236.67
