,lat_centroid,lon_centroid,year,month
29901,38.36427303649642,-86.87981142676438,2003,8
29911,38.31185418110547,-87.58461346877579,2022,4
29912,38.31185418110547,-87.58461346877579,2022,5
29913,38.31185418110547,-87.58461346877579,2022,6
29914,38.31185418110547,-87.58461346877579,2022,7
29915,38.31185418110547,-87.58461346877579,2022,8
29916,38.31185418110547,-87.58461346877579,2022,9
29917,38.31185418110547,-87.58461346877579,2022,10
29918,38.31185418110547,-87.58461346877579,2020,4
29925,38.31185418110547,-87.58461346877579,2019,10
29940,38.31185418110547,-87.58461346877579,2016,4
29941,38.31185418110547,-87.58461346877579,2016,5
29942,38.31185418110547,-87.58461346877579,2016,6
29972,38.31185418110547,-87.58461346877579,2012,8
29973,38.31185418110547,-87.58461346877579,2012,9
29974,38.31185418110547,-87.58461346877579,2012,10
29982,38.31185418110547,-87.58461346877579,2009,4
29983,38.31185418110547,-87.58461346877579,2009,5
29984,38.31185418110547,-87.58461346877579,2009,6
29988,38.31185418110547,-87.58461346877579,2009,10
29989,38.31185418110547,-87.58461346877579,2008,4
29995,38.31185418110547,-87.58461346877579,2008,10
30000,38.31185418110547,-87.58461346877579,2007,8
30001,38.31185418110547,-87.58461346877579,2007,9
30002,38.31185418110547,-87.58461346877579,2007,10
30003,38.31185418110547,-87.58461346877579,2006,4
30004,38.31185418110547,-87.58461346877579,2006,5
30009,38.31185418110547,-87.58461346877579,2006,10
30024,38.31185418110547,-87.58461346877579,2003,5
30025,38.31185418110547,-87.58461346877579,2003,6
30026,38.31185418110547,-87.58461346877579,2003,7
30027,38.31185418110547,-87.58461346877579,2003,8
30030,38.31185418110547,-87.58461346877579,2002,4
30031,38.31185418110547,-87.58461346877579,2002,5
30032,38.31185418110547,-87.58461346877579,2002,6
30033,38.31185418110547,-87.58461346877579,2002,7
30034,38.31185418110547,-87.58461346877579,2002,8
30035,38.31185418110547,-87.58461346877579,2001,4
30036,38.31185418110547,-87.58461346877579,2001,5
30037,38.31185418110547,-87.58461346877579,2001,6
30038,38.31185418110547,-87.58461346877579,2001,7
30039,38.31185418110547,-87.58461346877579,2001,8
30040,38.31185418110547,-87.58461346877579,2001,9
30041,38.31185418110547,-87.58461346877579,2001,10
30042,38.31185418110547,-87.58461346877579,2000,4
30043,38.31185418110547,-87.58461346877579,2000,5
30044,38.31185418110547,-87.58461346877579,2000,6
30045,38.31185418110547,-87.58461346877579,2000,7
30046,38.31185418110547,-87.58461346877579,2000,8
30047,38.31185418110547,-87.58461346877579,2000,9
30048,38.31185418110547,-87.58461346877579,2000,10
30056,39.036344307852815,-86.96204482196724,2021,4
30057,39.036344307852815,-86.96204482196724,2021,5
30058,39.036344307852815,-86.96204482196724,2021,6
30059,39.036344307852815,-86.96204482196724,2021,7
30060,39.036344307852815,-86.96204482196724,2021,8
30061,39.036344307852815,-86.96204482196724,2021,9
30063,39.036344307852815,-86.96204482196724,2020,4
30064,39.036344307852815,-86.96204482196724,2020,5
30065,39.036344307852815,-86.96204482196724,2020,6
30066,39.036344307852815,-86.96204482196724,2020,7
30067,39.036344307852815,-86.96204482196724,2020,8
30068,39.036344307852815,-86.96204482196724,2020,9
30069,39.036344307852815,-86.96204482196724,2020,10
30161,39.036344307852815,-86.96204482196724,2003,8
30171,38.68906994225328,-87.41802467400422,2022,4
30172,38.68906994225328,-87.41802467400422,2022,5
30173,38.68906994225328,-87.41802467400422,2022,6
30174,38.68906994225328,-87.41802467400422,2022,7
30175,38.68906994225328,-87.41802467400422,2022,8
30176,38.68906994225328,-87.41802467400422,2022,9
30177,38.68906994225328,-87.41802467400422,2022,10
30178,38.68906994225328,-87.41802467400422,2021,4
30185,38.68906994225328,-87.41802467400422,2020,4
30200,38.68906994225328,-87.41802467400422,2016,4
30201,38.68906994225328,-87.41802467400422,2016,5
30202,38.68906994225328,-87.41802467400422,2016,6
30232,38.68906994225328,-87.41802467400422,2012,8
30233,38.68906994225328,-87.41802467400422,2012,9
30234,38.68906994225328,-87.41802467400422,2012,10
30242,38.68906994225328,-87.41802467400422,2009,4
30243,38.68906994225328,-87.41802467400422,2009,5
30244,38.68906994225328,-87.41802467400422,2009,6
30248,38.68906994225328,-87.41802467400422,2009,10
30249,38.68906994225328,-87.41802467400422,2008,4
30255,38.68906994225328,-87.41802467400422,2008,10
30260,38.68906994225328,-87.41802467400422,2007,8
30261,38.68906994225328,-87.41802467400422,2007,9
30262,38.68906994225328,-87.41802467400422,2007,10
30263,38.68906994225328,-87.41802467400422,2006,4
30264,38.68906994225328,-87.41802467400422,2006,5
30269,38.68906994225328,-87.41802467400422,2006,10
30284,38.68906994225328,-87.41802467400422,2003,5
30285,38.68906994225328,-87.41802467400422,2003,6
30286,38.68906994225328,-87.41802467400422,2003,7
30287,38.68906994225328,-87.41802467400422,2003,8
30290,38.68906994225328,-87.41802467400422,2002,4
30291,38.68906994225328,-87.41802467400422,2002,5
30292,38.68906994225328,-87.41802467400422,2002,6
30293,38.68906994225328,-87.41802467400422,2002,7
30294,38.68906994225328,-87.41802467400422,2002,8
30295,38.68906994225328,-87.41802467400422,2001,4
30296,38.68906994225328,-87.41802467400422,2001,5
30297,38.68906994225328,-87.41802467400422,2001,6
30298,38.68906994225328,-87.41802467400422,2001,7
30299,38.68906994225328,-87.41802467400422,2001,8
30300,38.68906994225328,-87.41802467400422,2001,9
30301,38.68906994225328,-87.41802467400422,2001,10
30302,38.68906994225328,-87.41802467400422,2000,4
30303,38.68906994225328,-87.41802467400422,2000,5
30304,38.68906994225328,-87.41802467400422,2000,6
30305,38.68906994225328,-87.41802467400422,2000,7
30306,38.68906994225328,-87.41802467400422,2000,8
30307,38.68906994225328,-87.41802467400422,2000,9
30308,38.68906994225328,-87.41802467400422,2000,10
30316,38.70801365526135,-86.80307337140702,2021,4
30317,38.70801365526135,-86.80307337140702,2021,5
30318,38.70801365526135,-86.80307337140702,2021,6
30319,38.70801365526135,-86.80307337140702,2021,7
