,stationTriplet,stationId,stateCode,networkCode,name,dcoCode,countyName,huc,elevation,latitude,longitude,dataTimeZone,pedonCode,shefId,beginDate,endDate
1414,2011:NY:SCAN,2011,NY,SCAN,Geneva #1,GC,Ontario,041402010904,700.0,42.88333,-77.03333,-5.0,18821,GVAN6,1993-10-01 00:00,2100-01-01 00:00
1444,2050:MN:SCAN,2050,MN,SCAN,Glacial Ridge,GC,Polk,090203030503,1140.0,47.71667,-96.26667,-6.0,28526,GLRM5,2001-09-25 00:00,2100-01-01 00:00
1469,2024:MS:SCAN,2024,MS,SCAN,Goodwin Ck Pasture,GC,Panola,080302030403,320.0,34.25,-89.86667,-6.0,29368,GCPM6,1999-01-27 00:00,2100-01-01 00:00
1470,2025:MS:SCAN,2025,MS,SCAN,Goodwin Ck Timber,GC,Panola,080302030402,330.0,34.23595,-89.89828,-6.0,29369,GCTM6,1999-01-27 00:00,2100-01-01 00:00
1477,2165:UT:SCAN,2165,UT,SCAN,Goshute,GC,Tooele,160203060808,5490.0,39.99003,-114.00025,-7.0,43930,GSHU1,2010-03-01 00:00,2100-01-01 00:00
1506,2152:UT:SCAN,2152,UT,SCAN,Grantsville,GC,Tooele,160203040503,4340.0,40.59089,-112.39258,-7.0,40644,GTVU1,2009-08-27 00:00,2100-01-01 00:00
1546,2131:UT:SCAN,2131,UT,SCAN,Green River,GC,Emery,140600080208,4100.0,39.01825,-110.16264,-7.0,34110,GREU1,2005-05-15 00:00,2100-01-01 00:00
1566,2160:UT:SCAN,2160,UT,SCAN,Grouse Creek,GC,Box Elder,160203080103,5820.0,41.77846,-113.82048,-7.0,43921,GRSU1,2010-05-04 00:00,2100-01-01 00:00
1570,2045:PR:SCAN,2045,PR,SCAN,Guilarte Forest,GC,Adjuntas,210100020401,3330.0,18.14638,-66.76718,-4.0,28517,GUIP4,2001-05-08 00:00,2100-01-01 00:00
1595,2164:UT:SCAN,2164,UT,SCAN,Hals Canyon,GC,Millard,160203020303,5250.0,38.59445,-113.75102,-7.0,43928,HALU1,2010-03-09 00:00,2100-01-01 00:00
