month,year,PRCP,SMS_-2,SMS_-4,SMS_-8,SMS_-20,SMS_-40,TAVG,TMAX,TMIN,stationTriplet,latitude,longitude
4,2002,,22.1,20.8,18.3,33.7,36.8,,,,2057:AL:SCAN,34.78534,-86.55906
5,2002,4.8,12.2,12.0,12.2,26.0,33.5,66.2,,37.9,2057:AL:SCAN,34.78534,-86.55906
6,2002,2.08,14.3,13.2,12.0,20.6,28.8,75.2,,54.1,2057:AL:SCAN,34.78534,-86.55906
7,2002,3.4,11.8,11.3,11.4,21.7,27.4,78.1,,64.9,2057:AL:SCAN,34.78534,-86.55906
8,2002,1.44,15.6,14.5,13.0,21.5,27.9,77.7,,60.8,2057:AL:SCAN,34.78534,-86.55906
9,2002,2.19,25.6,22.3,19.2,31.4,37.6,74.7,,56.3,2057:AL:SCAN,34.78534,-86.55906
10,2002,,29.0,24.0,20.1,32.5,39.5,63.5,,37.9,2057:AL:SCAN,34.78534,-86.55906
11,2002,0.12,29.4,24.4,20.2,32.4,39.1,47.5,,21.9,2057:AL:SCAN,34.78534,-86.55906
12,2002,6.34,29.1,24.1,20.0,31.8,38.1,42.0,,18.1,2057:AL:SCAN,34.78534,-86.55906
1,2003,1.92,31.5,26.1,21.6,33.0,39.4,35.0,,3.2,2057:AL:SCAN,34.78534,-86.55906
2,2003,8.51,27.8,23.7,19.9,32.1,39.2,42.6,,14.2,2057:AL:SCAN,34.78534,-86.55906
3,2003,1.8,24.9,21.7,19.8,32.0,39.2,53.6,,25.5,2057:AL:SCAN,34.78534,-86.55906
4,2003,5.08,27.7,25.3,22.1,33.9,41.6,61.9,,36.7,2057:AL:SCAN,34.78534,-86.55906
5,2003,10.53,23.0,20.2,21.9,30.0,37.6,67.6,,47.8,2057:AL:SCAN,34.78534,-86.55906
6,2003,3.5,26.8,25.2,23.2,34.4,42.1,71.9,,50.7,2057:AL:SCAN,34.78534,-86.55906
7,2003,,21.5,18.8,22.6,30.5,38.0,76.0,,58.6,2057:AL:SCAN,34.78534,-86.55906
8,2003,,19.3,17.9,22.5,28.8,36.6,77.3,,64.4,2057:AL:SCAN,34.78534,-86.55906
9,2003,4.07,23.2,19.5,22.6,31.6,38.0,70.2,,40.8,2057:AL:SCAN,34.78534,-86.55906
10,2003,0.93,29.2,24.5,23.0,33.8,39.9,60.6,,36.1,2057:AL:SCAN,34.78534,-86.55906
11,2003,5.62,33.0,28.6,30.3,35.6,42.8,55.5,,24.1,2057:AL:SCAN,34.78534,-86.55906
12,2003,3.73,32.9,28.7,30.2,35.1,42.5,40.9,,20.5,2057:AL:SCAN,34.78534,-86.55906
1,2004,3.21,34.0,30.1,32.5,38.9,42.6,40.7,,16.9,2057:AL:SCAN,34.78534,-86.55906
2,2004,6.5,30.1,27.7,35.8,46.5,42.9,42.4,,26.1,2057:AL:SCAN,34.78534,-86.55906
3,2004,4.87,26.2,23.1,30.1,46.1,42.3,55.6,,27.9,2057:AL:SCAN,34.78534,-86.55906
4,2004,5.15,27.9,22.9,28.4,43.7,41.0,59.5,,34.0,2057:AL:SCAN,34.78534,-86.55906
5,2004,3.21,20.1,20.1,31.9,39.9,39.8,71.1,,37.6,2057:AL:SCAN,34.78534,-86.55906
6,2004,3.85,23.3,24.2,34.0,45.1,45.5,74.5,,58.8,2057:AL:SCAN,34.78534,-86.55906
7,2004,5.75,18.4,19.1,29.1,42.4,42.4,75.9,,60.6,2057:AL:SCAN,34.78534,-86.55906
8,2004,1.92,18.0,20.2,29.8,42.2,42.1,73.0,,51.1,2057:AL:SCAN,34.78534,-86.55906
9,2004,3.05,20.0,20.4,28.8,42.6,42.7,70.3,,49.5,2057:AL:SCAN,34.78534,-86.55906
10,2004,5.47,31.3,30.3,34.3,44.7,45.6,64.6,,40.8,2057:AL:SCAN,34.78534,-86.55906
11,2004,7.39,34.6,32.1,36.0,44.5,44.6,54.5,,29.5,2057:AL:SCAN,34.78534,-86.55906
12,2004,8.35,34.6,33.6,36.3,44.5,44.0,41.4,,13.1,2057:AL:SCAN,34.78534,-86.55906
1,2005,2.38,38.8,37.9,38.1,44.8,44.8,45.3,,14.4,2057:AL:SCAN,34.78534,-86.55906
2,2005,5.35,37.1,35.8,37.5,44.8,44.6,46.9,,20.3,2057:AL:SCAN,34.78534,-86.55906
3,2005,3.5,33.6,33.9,36.4,44.8,45.4,49.9,,21.4,2057:AL:SCAN,34.78534,-86.55906
4,2005,5.39,25.1,26.5,31.1,41.7,42.7,59.8,,33.1,2057:AL:SCAN,34.78534,-86.55906
5,2005,1.97,30.7,30.9,33.9,44.1,45.8,65.0,,38.1,2057:AL:SCAN,34.78534,-86.55906
6,2005,5.54,29.2,29.3,33.8,43.4,46.4,73.9,,54.9,2057:AL:SCAN,34.78534,-86.55906
7,2005,3.35,22.5,23.4,28.7,41.8,45.1,77.5,,65.1,2057:AL:SCAN,34.78534,-86.55906
8,2005,4.4,21.8,23.6,27.4,42.9,46.0,78.3,,61.5,2057:AL:SCAN,34.78534,-86.55906
9,2005,0.3,18.5,20.6,24.4,42.9,44.9,73.1,,47.8,2057:AL:SCAN,34.78534,-86.55906
10,2005,0.04,23.3,23.8,27.6,42.1,43.9,60.2,,31.8,2057:AL:SCAN,34.78534,-86.55906
11,2005,4.64,32.4,31.4,33.7,43.7,45.0,52.7,,24.3,2057:AL:SCAN,34.78534,-86.55906
12,2005,3.81,33.8,32.5,35.0,44.0,45.0,38.7,,17.2,2057:AL:SCAN,34.78534,-86.55906
1,2006,5.61,35.3,33.9,36.0,44.0,44.7,48.2,,24.4,2057:AL:SCAN,34.78534,-86.55906
2,2006,2.48,32.1,30.5,,44.1,44.4,41.7,,14.5,2057:AL:SCAN,34.78534,-86.55906
3,2006,2.09,,,,42.3,44.8,52.8,,25.3,2057:AL:SCAN,34.78534,-86.55906
4,2006,4.62,,,23.0,43.0,46.2,65.4,,36.5,2057:AL:SCAN,34.78534,-86.55906
5,2006,4.74,21.8,22.2,14.6,36.5,41.7,67.4,92.8,42.1,2057:AL:SCAN,34.78534,-86.55906
6,2006,2.61,13.1,14.8,11.0,29.1,33.0,74.3,95.5,50.7,2057:AL:SCAN,34.78534,-86.55906
7,2006,1.9,,,,,,80.0,99.5,59.0,2057:AL:SCAN,34.78534,-86.55906
10,2006,,,,,,,,82.0,,2057:AL:SCAN,34.78534,-86.55906
11,2006,5.0,,,,,,50.2,76.5,24.4,2057:AL:SCAN,34.78534,-86.55906
12,2006,3.8,,,,,,45.5,71.8,12.9,2057:AL:SCAN,34.78534,-86.55906
1,2007,2.7,,,,,,43.1,71.6,12.2,2057:AL:SCAN,34.78534,-86.55906
2,2007,2.3,,,,,,40.4,74.7,15.3,2057:AL:SCAN,34.78534,-86.55906
3,2007,1.1,20.1,27.9,32.1,39.2,34.7,59.6,85.3,24.6,2057:AL:SCAN,34.78534,-86.55906
4,2007,4.5,15.8,22.8,28.5,38.4,33.0,57.6,85.6,22.8,2057:AL:SCAN,34.78534,-86.55906
5,2007,1.7,14.6,19.1,23.2,32.1,30.8,70.6,88.7,41.4,2057:AL:SCAN,34.78534,-86.55906
6,2007,15.3,23.9,28.9,32.7,38.0,30.0,77.4,96.3,56.7,2057:AL:SCAN,34.78534,-86.55906
7,2007,4.8,13.4,20.5,24.2,33.5,29.6,76.3,92.7,60.6,2057:AL:SCAN,34.78534,-86.55906
8,2007,1.9,15.3,22.0,24.0,30.4,28.4,83.2,103.6,68.2,2057:AL:SCAN,34.78534,-86.55906
9,2007,1.7,16.1,21.9,22.7,30.2,27.3,74.1,93.0,49.3,2057:AL:SCAN,34.78534,-86.55906
10,2007,2.94,22.3,28.7,31.5,35.7,30.4,64.9,91.0,36.3,2057:AL:SCAN,34.78534,-86.55906
11,2007,3.88,27.2,31.2,33.3,39.0,39.1,50.6,74.5,26.1,2057:AL:SCAN,34.78534,-86.55906
12,2007,1.97,28.9,31.9,33.4,38.8,38.4,48.7,77.2,20.8,2057:AL:SCAN,34.78534,-86.55906
1,2008,3.32,31.2,33.3,34.6,39.4,41.0,39.6,72.0,11.7,2057:AL:SCAN,34.78534,-86.55906
2,2008,3.48,29.8,32.4,34.2,39.6,38.9,45.7,73.4,16.7,2057:AL:SCAN,34.78534,-86.55906
3,2008,5.05,24.2,29.7,31.9,39.0,37.2,51.9,75.9,23.5,2057:AL:SCAN,34.78534,-86.55906
4,2008,3.37,21.3,27.4,28.1,34.5,34.7,59.9,84.0,31.5,2057:AL:SCAN,34.78534,-86.55906
5,2008,4.83,18.8,26.1,29.4,38.0,35.6,67.6,89.1,41.7,2057:AL:SCAN,34.78534,-86.55906
6,2008,1.63,17.9,25.2,27.2,34.3,31.9,76.4,93.7,53.2,2057:AL:SCAN,34.78534,-86.55906
7,2008,3.52,18.2,24.1,26.2,35.0,34.0,77.7,98.4,53.2,2057:AL:SCAN,34.78534,-86.55906
8,2008,6.36,18.7,26.9,29.9,39.2,35.6,76.2,95.5,58.1,2057:AL:SCAN,34.78534,-86.55906
9,2008,1.62,19.9,27.7,30.3,39.2,38.0,71.7,92.3,50.2,2057:AL:SCAN,34.78534,-86.55906
10,2008,4.84,27.1,31.7,32.8,39.2,39.9,59.3,83.7,28.9,2057:AL:SCAN,34.78534,-86.55906
11,2008,2.88,35.2,35.0,35.1,40.0,44.6,46.9,76.5,15.8,2057:AL:SCAN,34.78534,-86.55906
12,2008,9.36,34.1,34.3,34.5,39.5,39.7,44.0,72.5,12.9,2057:AL:SCAN,34.78534,-86.55906
1,2009,4.0,32.8,34.5,34.8,39.5,40.1,39.8,69.4,6.6,2057:AL:SCAN,34.78534,-86.55906
2,2009,3.1,30.1,34.4,35.3,40.2,40.7,44.6,74.5,11.3,2057:AL:SCAN,34.78534,-86.55906
3,2009,5.0,31.1,34.4,35.3,40.6,40.3,53.8,80.6,17.6,2057:AL:SCAN,34.78534,-86.55906
4,2009,4.9,31.6,34.0,34.9,40.6,40.0,59.9,86.4,31.1,2057:AL:SCAN,34.78534,-86.55906
5,2009,6.9,20.8,25.9,31.0,37.9,35.8,67.9,88.5,41.0,2057:AL:SCAN,34.78534,-86.55906
6,2009,2.3,18.4,24.9,30.3,34.9,33.3,77.4,95.5,51.3,2057:AL:SCAN,34.78534,-86.55906
7,2009,5.5,17.3,23.0,29.1,37.1,32.7,75.3,92.1,54.9,2057:AL:SCAN,34.78534,-86.55906
8,2009,2.0,25.6,28.9,33.4,39.0,37.9,75.8,94.1,57.4,2057:AL:SCAN,34.78534,-86.55906
9,2009,7.1,32.1,35.0,35.5,41.2,40.8,71.5,90.0,45.3,2057:AL:SCAN,34.78534,-86.55906
10,2009,6.1,29.5,34.2,34.3,40.3,38.9,58.6,87.4,31.3,2057:AL:SCAN,34.78534,-86.55906
11,2009,2.7,,,,,,51.3,77.0,29.3,2057:AL:SCAN,34.78534,-86.55906
1,2010,,41.2,38.9,36.2,39.7,40.0,,,,2057:AL:SCAN,34.78534,-86.55906
2,2010,,,,,,,35.8,68.4,20.8,2057:AL:SCAN,34.78534,-86.55906
3,2010,7.9,22.9,26.2,28.1,37.1,36.1,,,,2057:AL:SCAN,34.78534,-86.55906
4,2010,2.8,22.3,27.1,27.3,35.9,36.0,62.6,86.7,38.5,2057:AL:SCAN,34.78534,-86.55906
5,2010,4.1,24.8,25.9,29.8,37.7,36.7,70.4,90.9,44.4,2057:AL:SCAN,34.78534,-86.55906
6,2010,5.6,16.2,14.7,24.6,33.5,32.6,78.5,95.5,57.9,2057:AL:SCAN,34.78534,-86.55906
7,2010,2.1,14.4,11.4,22.2,31.3,30.5,80.5,98.6,61.2,2057:AL:SCAN,34.78534,-86.55906
8,2010,,,,,,,81.6,101.8,64.9,2057:AL:SCAN,34.78534,-86.55906
5,2011,,17.0,17.5,27.1,32.5,33.9,,,,2057:AL:SCAN,34.78534,-86.55906
6,2011,3.79,23.4,24.0,35.2,41.1,37.7,77.6,95.2,59.9,2057:AL:SCAN,34.78534,-86.55906
7,2011,4.3,19.5,20.8,31.3,39.6,40.0,79.5,96.1,63.5,2057:AL:SCAN,34.78534,-86.55906
8,2011,2.86,22.9,23.6,32.2,39.1,39.9,77.9,99.5,58.5,2057:AL:SCAN,34.78534,-86.55906
9,2011,7.09,18.8,19.9,30.3,37.3,35.8,67.6,96.6,46.2,2057:AL:SCAN,34.78534,-86.55906
10,2011,1.79,27.4,26.7,34.5,38.7,35.9,57.1,84.4,30.0,2057:AL:SCAN,34.78534,-86.55906
11,2011,5.66,33.6,30.3,35.7,40.5,43.6,53.5,74.5,25.3,2057:AL:SCAN,34.78534,-86.55906
12,2011,6.48,34.5,32.1,36.0,40.5,41.9,45.5,69.8,23.7,2057:AL:SCAN,34.78534,-86.55906
1,2012,9.28,33.6,33.3,36.0,40.5,40.8,46.4,69.6,18.1,2057:AL:SCAN,34.78534,-86.55906
2,2012,3.53,32.0,32.4,36.0,41.0,40.6,48.1,77.0,17.8,2057:AL:SCAN,34.78534,-86.55906
3,2012,3.56,14.7,20.1,28.5,38.6,37.4,62.4,84.0,30.9,2057:AL:SCAN,34.78534,-86.55906
4,2012,0.73,14.7,21.1,28.8,37.2,36.1,62.5,86.5,30.9,2057:AL:SCAN,34.78534,-86.55906
5,2012,2.12,14.9,20.9,28.6,37.2,35.9,71.3,91.8,46.0,2057:AL:SCAN,34.78534,-86.55906
6,2012,3.44,19.3,24.3,31.4,36.3,35.3,75.6,104.0,48.7,2057:AL:SCAN,34.78534,-86.55906
7,2012,6.84,20.7,27.2,34.3,39.8,34.6,79.9,102.7,64.0,2057:AL:SCAN,34.78534,-86.55906
8,2012,3.35,23.1,29.1,34.4,41.5,40.0,75.6,95.7,55.4,2057:AL:SCAN,34.78534,-86.55906
9,2012,7.27,29.4,32.7,35.3,41.4,40.9,68.9,91.9,42.6,2057:AL:SCAN,34.78534,-86.55906
10,2012,2.79,27.6,32.3,33.7,40.2,39.2,58.0,82.2,35.4,2057:AL:SCAN,34.78534,-86.55906
11,2012,2.08,32.4,34.8,35.1,40.8,42.0,47.9,80.6,23.4,2057:AL:SCAN,34.78534,-86.55906
12,2012,6.32,36.5,36.4,36.0,40.7,41.1,48.5,72.3,24.8,2057:AL:SCAN,34.78534,-86.55906
1,2013,9.41,37.0,36.5,36.1,40.6,41.4,44.3,70.5,22.1,2057:AL:SCAN,34.78534,-86.55906
2,2013,3.3,34.8,36.0,36.3,40.7,40.9,43.5,63.1,19.9,2057:AL:SCAN,34.78534,-86.55906
3,2013,6.84,28.7,34.8,36.7,41.2,40.9,46.3,75.0,23.9,2057:AL:SCAN,34.78534,-86.55906
4,2013,4.69,27.8,35.3,37.4,41.8,40.6,59.7,86.0,32.0,2057:AL:SCAN,34.78534,-86.55906
5,2013,6.54,21.1,29.2,31.9,40.1,38.4,66.3,88.2,38.1,2057:AL:SCAN,34.78534,-86.55906
6,2013,4.51,22.1,29.6,32.3,41.3,40.9,75.3,94.3,57.7,2057:AL:SCAN,34.78534,-86.55906
7,2013,6.97,27.9,33.4,34.1,41.7,40.7,75.2,91.6,59.7,2057:AL:SCAN,34.78534,-86.55906
8,2013,5.22,23.4,29.1,32.8,41.7,40.1,74.4,92.1,58.1,2057:AL:SCAN,34.78534,-86.55906
9,2013,4.5,20.7,25.5,31.3,40.3,37.7,70.9,89.8,50.4,2057:AL:SCAN,34.78534,-86.55906
10,2013,0.86,28.3,30.0,33.3,39.1,37.7,60.9,85.1,27.1,2057:AL:SCAN,34.78534,-86.55906
11,2013,3.58,33.3,33.6,35.4,40.9,43.9,47.3,74.3,15.8,2057:AL:SCAN,34.78534,-86.55906
12,2013,8.13,31.5,33.4,35.1,40.3,41.8,42.9,76.1,18.7,2057:AL:SCAN,34.78534,-86.55906
1,2014,3.63,34.8,34.8,35.8,40.7,43.2,33.6,62.4,3.7,2057:AL:SCAN,34.78534,-86.55906
2,2014,7.04,33.0,34.5,35.6,40.7,41.2,41.8,72.3,15.6,2057:AL:SCAN,34.78534,-86.55906
3,2014,2.51,35.0,35.4,37.1,41.7,42.0,48.6,75.9,23.0,2057:AL:SCAN,34.78534,-86.55906
4,2014,8.53,30.1,32.9,38.3,42.1,41.7,61.2,83.3,28.9,2057:AL:SCAN,34.78534,-86.55906
5,2014,4.36,26.5,29.9,36.9,42.0,42.0,68.6,87.8,41.4,2057:AL:SCAN,34.78534,-86.55906
6,2014,6.12,24.5,29.4,34.4,38.5,37.3,75.0,91.6,63.0,2057:AL:SCAN,34.78534,-86.55906
7,2014,3.93,24.5,31.5,36.9,40.3,38.7,74.3,92.5,54.0,2057:AL:SCAN,34.78534,-86.55906
8,2014,5.58,22.0,28.0,36.1,41.2,41.2,75.4,93.0,55.4,2057:AL:SCAN,34.78534,-86.55906
9,2014,0.67,24.6,30.4,35.7,39.7,40.6,71.3,90.7,47.8,2057:AL:SCAN,34.78534,-86.55906
10,2014,9.96,31.6,33.0,37.9,41.1,44.3,60.5,85.6,34.3,2057:AL:SCAN,34.78534,-86.55906
11,2014,4.1,34.7,34.7,38.1,41.4,44.5,44.4,72.1,14.9,2057:AL:SCAN,34.78534,-86.55906
12,2014,,36.0,35.1,37.4,41.0,43.3,43.7,70.3,22.8,2057:AL:SCAN,34.78534,-86.55906
1,2015,,36.1,35.1,37.2,40.7,43.3,37.9,63.9,3.4,2057:AL:SCAN,34.78534,-86.55906
2,2015,,38.8,37.9,38.9,41.5,45.4,33.4,63.0,5.5,2057:AL:SCAN,34.78534,-86.55906
3,2015,,39.1,39.6,39.9,42.4,45.3,51.5,77.9,12.9,2057:AL:SCAN,34.78534,-86.55906
4,2015,,27.0,29.0,34.5,38.3,39.1,61.5,81.7,33.1,2057:AL:SCAN,34.78534,-86.55906
5,2015,,33.4,33.9,41.5,42.6,41.8,68.1,87.3,39.7,2057:AL:SCAN,34.78534,-86.55906
6,2015,,33.2,36.6,44.3,42.9,42.5,76.4,94.8,58.5,2057:AL:SCAN,34.78534,-86.55906
7,2015,4.72,32.9,37.2,43.8,43.1,44.5,78.3,94.6,63.3,2057:AL:SCAN,34.78534,-86.55906
8,2015,7.85,,,,,,74.3,97.0,54.3,2057:AL:SCAN,34.78534,-86.55906
9,2015,1.39,26.8,30.2,33.3,40.9,40.5,,,,2057:AL:SCAN,34.78534,-86.55906
10,2015,2.19,34.4,39.0,37.1,42.1,,61.2,84.2,36.0,2057:AL:SCAN,34.78534,-86.55906
11,2015,7.41,37.9,40.6,39.2,42.2,47.6,56.3,76.6,21.0,2057:AL:SCAN,34.78534,-86.55906
12,2015,12.23,40.6,40.5,38.8,41.5,45.0,53.5,75.6,23.2,2057:AL:SCAN,34.78534,-86.55906
1,2016,3.97,41.4,41.0,38.2,41.7,46.1,38.4,67.8,14.0,2057:AL:SCAN,34.78534,-86.55906
2,2016,7.16,39.9,40.2,38.9,42.2,46.3,44.8,73.9,18.5,2057:AL:SCAN,34.78534,-86.55906
3,2016,4.95,36.0,38.4,38.5,42.7,46.2,57.0,86.0,29.7,2057:AL:SCAN,34.78534,-86.55906
4,2016,2.26,28.6,29.1,35.3,42.2,42.4,61.5,84.2,37.4,2057:AL:SCAN,34.78534,-86.55906
5,2016,1.12,20.2,23.1,29.3,37.0,40.0,67.2,89.6,40.3,2057:AL:SCAN,34.78534,-86.55906
6,2016,1.98,23.5,27.0,33.5,37.8,38.9,77.0,96.4,53.4,2057:AL:SCAN,34.78534,-86.55906
7,2016,,27.3,29.6,38.1,42.9,43.5,79.3,95.7,57.6,2057:AL:SCAN,34.78534,-86.55906
8,2016,,18.0,23.3,32.1,40.8,41.1,78.2,94.3,63.5,2057:AL:SCAN,34.78534,-86.55906
9,2016,,12.6,18.5,22.9,34.3,38.5,75.1,94.6,46.8,2057:AL:SCAN,34.78534,-86.55906
10,2016,,13.9,18.1,22.5,31.8,36.8,66.0,88.7,37.2,2057:AL:SCAN,34.78534,-86.55906
11,2016,,31.2,32.7,34.8,41.2,46.6,55.1,86.0,24.3,2057:AL:SCAN,34.78534,-86.55906
12,2016,,33.3,34.2,35.8,41.5,45.0,44.6,74.3,20.1,2057:AL:SCAN,34.78534,-86.55906
1,2017,,34.3,33.8,35.3,41.1,43.0,48.8,72.7,9.3,2057:AL:SCAN,34.78534,-86.55906
2,2017,,35.0,36.0,36.6,41.9,43.9,51.7,78.6,21.7,2057:AL:SCAN,34.78534,-86.55906
3,2017,,33.6,35.4,36.5,42.7,43.2,53.6,82.6,19.0,2057:AL:SCAN,34.78534,-86.55906
4,2017,,34.2,35.9,,43.2,44.1,65.4,87.6,36.3,2057:AL:SCAN,34.78534,-86.55906
5,2017,,31.9,36.4,,43.3,44.1,67.9,90.0,43.0,2057:AL:SCAN,34.78534,-86.55906
6,2017,,34.2,39.0,,44.2,45.5,73.6,91.4,53.1,2057:AL:SCAN,34.78534,-86.55906
7,2017,,31.5,38.7,41.1,44.2,45.9,77.8,94.6,61.2,2057:AL:SCAN,34.78534,-86.55906
8,2017,8.97,30.6,37.4,40.6,43.6,44.9,74.9,92.3,60.1,2057:AL:SCAN,34.78534,-86.55906
9,2017,3.29,27.9,35.1,39.8,42.4,44.2,68.0,89.6,47.1,2057:AL:SCAN,34.78534,-86.55906
10,2017,5.51,29.9,37.2,39.5,42.0,43.5,61.5,87.8,29.1,2057:AL:SCAN,34.78534,-86.55906
11,2017,1.19,30.4,37.0,39.3,41.3,43.5,52.4,79.5,24.1,2057:AL:SCAN,34.78534,-86.55906
12,2017,4.86,26.8,31.2,38.8,40.6,42.5,41.8,68.5,14.7,2057:AL:SCAN,34.78534,-86.55906
1,2018,1.78,35.4,38.8,40.1,42.0,45.7,36.2,68.4,3.6,2057:AL:SCAN,34.78534,-86.55906
2,2018,11.3,30.9,39.4,40.3,42.2,44.2,52.6,80.8,21.0,2057:AL:SCAN,34.78534,-86.55906
3,2018,3.52,29.4,40.2,40.8,42.9,45.0,50.8,76.6,24.3,2057:AL:SCAN,34.78534,-86.55906
4,2018,7.51,21.0,33.3,39.5,43.5,44.3,55.8,81.7,29.3,2057:AL:SCAN,34.78534,-86.55906
5,2018,4.13,23.9,37.1,40.7,44.8,46.5,72.3,89.2,46.6,2057:AL:SCAN,34.78534,-86.55906
6,2018,7.78,21.5,33.2,40.0,44.4,44.6,76.0,92.8,56.1,2057:AL:SCAN,34.78534,-86.55906
7,2018,2.64,23.5,34.6,39.6,44.1,45.5,78.7,95.4,61.5,2057:AL:SCAN,34.78534,-86.55906
8,2018,4.56,22.9,33.7,39.7,44.2,45.7,77.8,95.2,58.1,2057:AL:SCAN,34.78534,-86.55906
9,2018,5.69,22.1,33.1,39.1,42.9,44.2,76.7,98.1,60.6,2057:AL:SCAN,34.78534,-86.55906
10,2018,2.64,27.4,36.4,39.7,41.8,43.9,63.5,92.1,34.2,2057:AL:SCAN,34.78534,-86.55906
11,2018,7.95,28.8,37.2,40.2,41.7,45.4,46.5,72.9,19.8,2057:AL:SCAN,34.78534,-86.55906
12,2018,9.7,27.7,37.0,40.3,41.7,44.4,45.9,73.4,21.7,2057:AL:SCAN,34.78534,-86.55906
1,2019,7.58,26.4,36.6,40.4,42.1,44.8,42.0,67.5,18.9,2057:AL:SCAN,34.78534,-86.55906
2,2019,0.0,24.1,35.3,40.5,42.4,44.5,51.4,76.1,28.0,2057:AL:SCAN,34.78534,-86.55906
3,2019,0.0,24.5,35.4,40.7,43.3,44.7,50.9,76.8,21.6,2057:AL:SCAN,34.78534,-86.55906
4,2019,0.0,20.3,33.8,40.6,44.2,44.6,63.0,86.9,29.5,2057:AL:SCAN,34.78534,-86.55906
5,2019,0.0,18.0,28.8,37.8,43.7,43.8,72.8,94.3,47.8,2057:AL:SCAN,34.78534,-86.55906
6,2019,0.0,20.3,29.9,38.2,44.2,45.9,75.7,93.7,52.2,2057:AL:SCAN,34.78534,-86.55906
7,2019,0.0,17.3,30.4,38.0,44.6,45.6,78.2,96.1,59.0,2057:AL:SCAN,34.78534,-86.55906
8,2019,0.0,14.9,26.5,36.2,43.5,45.4,77.6,97.9,57.0,2057:AL:SCAN,34.78534,-86.55906
9,2019,0.0,20.3,29.8,36.7,40.9,44.3,78.0,98.2,55.9,2057:AL:SCAN,34.78534,-86.55906
10,2019,,26.6,34.2,39.7,42.4,45.5,63.7,97.5,33.8,2057:AL:SCAN,34.78534,-86.55906
11,2019,,30.3,36.3,40.3,42.4,46.2,47.5,75.0,16.3,2057:AL:SCAN,34.78534,-86.55906
12,2019,,31.3,36.6,40.4,42.4,45.8,48.8,71.2,23.5,2057:AL:SCAN,34.78534,-86.55906
1,2020,,31.9,37.0,40.6,42.4,45.7,46.9,72.9,20.8,2057:AL:SCAN,34.78534,-86.55906
2,2020,,31.5,37.3,40.9,43.0,46.0,46.7,72.3,20.5,2057:AL:SCAN,34.78534,-86.55906
3,2020,,29.6,36.7,41.0,43.6,46.1,59.0,86.4,30.4,2057:AL:SCAN,34.78534,-86.55906
4,2020,,28.2,36.7,41.2,44.2,46.9,58.3,84.0,33.1,2057:AL:SCAN,34.78534,-86.55906
5,2020,,23.1,31.5,38.2,43.4,44.7,66.2,87.8,36.0,2057:AL:SCAN,34.78534,-86.55906
6,2020,,26.3,33.7,39.5,43.9,45.9,74.7,91.9,53.8,2057:AL:SCAN,34.78534,-86.55906
7,2020,,24.3,31.0,38.1,43.4,44.4,79.1,95.5,65.8,2057:AL:SCAN,34.78534,-86.55906
8,2020,,27.1,34.7,39.9,44.4,47.4,77.2,97.3,62.4,2057:AL:SCAN,34.78534,-86.55906
9,2020,,28.5,34.7,40.5,44.0,46.0,70.8,91.9,46.9,2057:AL:SCAN,34.78534,-86.55906
10,2020,,25.1,32.4,39.2,42.6,43.5,63.0,83.1,34.7,2057:AL:SCAN,34.78534,-86.55906
11,2020,,32.4,36.0,39.9,42.2,46.2,54.1,79.5,30.4,2057:AL:SCAN,34.78534,-86.55906
12,2020,,32.1,36.2,40.3,42.0,44.4,42.9,68.9,16.2,2057:AL:SCAN,34.78534,-86.55906
1,2021,,33.3,37.5,40.9,42.2,47.1,42.8,74.7,20.5,2057:AL:SCAN,34.78534,-86.55906
2,2021,,29.4,35.8,40.8,43.0,45.8,41.3,75.9,12.0,2057:AL:SCAN,34.78534,-86.55906
3,2021,,24.5,34.4,40.8,43.7,45.7,56.7,81.3,28.6,2057:AL:SCAN,34.78534,-86.55906
4,2021,,22.5,31.0,39.5,43.9,44.9,59.4,84.4,28.6,2057:AL:SCAN,34.78534,-86.55906
5,2021,,23.9,30.9,39.2,44.3,45.5,66.8,91.2,43.5,2057:AL:SCAN,34.78534,-86.55906
6,2021,,24.8,32.2,39.6,44.9,47.1,75.3,91.8,55.9,2057:AL:SCAN,34.78534,-86.55906
7,2021,,28.3,34.7,40.7,45.3,46.9,77.2,95.0,57.9,2057:AL:SCAN,34.78534,-86.55906
8,2021,,28.3,34.9,40.9,45.2,47.4,76.6,94.1,61.3,2057:AL:SCAN,34.78534,-86.55906
9,2021,,30.2,34.9,40.7,44.5,46.3,70.2,87.1,46.2,2057:AL:SCAN,34.78534,-86.55906
10,2021,7.05,31.5,35.6,40.4,43.2,45.1,63.6,85.5,39.6,2057:AL:SCAN,34.78534,-86.55906
11,2021,2.65,34.0,36.6,40.6,43.4,45.9,47.7,73.0,25.5,2057:AL:SCAN,34.78534,-86.55906
12,2021,9.65,35.6,37.5,40.8,43.1,46.2,54.0,72.9,25.5,2057:AL:SCAN,34.78534,-86.55906
1,2022,11.11,35.0,37.3,40.8,42.8,45.4,38.2,78.4,16.5,2057:AL:SCAN,34.78534,-86.55906
2,2022,13.05,35.2,37.5,41.1,43.6,47.0,44.8,69.6,20.5,2057:AL:SCAN,34.78534,-86.55906
3,2022,11.43,33.1,37.4,41.1,44.3,46.2,54.1,82.4,19.4,2057:AL:SCAN,34.78534,-86.55906
