latitude,longitude,phh2o,ocd,cec,sand,silt,clay,stationTriplet
36.16555,-115.61195,69,114,136,524,262,169,2146:NV:SCAN
39.05141,-95.19128,64,284,221,46,633,323,2147:KS:SCAN
42.94863,-117.0106,77,129,280,259,412,281,2148:ID:SCAN
37.77767,-118.4209,70,52,58,724,211,69,2149:CA:SCAN
41.33136,-111.3036,71,197,156,521,307,145,2150:UT:SCAN
41.34363,-111.18798,81,159,106,333,401,275,2151:UT:SCAN
40.59089,-112.39258,80,150,174,246,411,250,2152:UT:SCAN
41.77318,-113.28596,86,87,153,436,397,166,2153:UT:SCAN
40.39136,-109.35326,80,176,150,388,298,231,2154:UT:SCAN
40.17957,-110.30464,82,134,188,309,306,337,2155:UT:SCAN
38.36649,-112.64291,76,175,218,234,546,223,2156:UT:SCAN
37.86975,-112.43437,72,172,391,460,318,232,2157:UT:SCAN
37.51468,-111.26189,82,57,57,512,205,146,2158:UT:SCAN
37.10516,-113.35615,79,58,10,971,12,13,2159:UT:SCAN
41.77846,-113.82048,73,133,180,327,445,250,2160:UT:SCAN
37.35524,-113.12341,66,117,14,930,43,28,2161:UT:SCAN
37.19061,-112.19252,67,105,38,741,181,63,2162:UT:SCAN
39.23724,-113.45866,82,58,68,425,357,202,2163:UT:SCAN
38.59445,-113.75102,87,49,83,735,171,92,2164:UT:SCAN
39.99003,-114.00025,94,66,173,319,469,186,2165:UT:SCAN
38.31347,-109.23998,75,154,180,341,325,296,2166:UT:SCAN
40.16591,-113.02007,80,104,134,158,479,284,2167:UT:SCAN
32.5566,-106.69997,84,94,66,604,44,73,2168:NM:SCAN
34.7715,-106.76288,84,73,97,809,56,120,2169:NM:SCAN
34.35813,-106.69127,82,75,116,476,214,162,2171:NM:SCAN
36.0908,-106.05668,76,102,101,764,110,118,2172:NM:SCAN
34.81982,-87.98685,53,109,83,100,586,255,2173:AL:SCAN
33.10768,-88.31003,56,131,196,56,412,480,2174:AL:SCAN
33.33168,-85.51818,52,116,70,413,255,198,2175:AL:SCAN
32.40392,-86.89137,52,116,78,208,336,195,2176:AL:SCAN
32.28393,-86.05253,54,124,62,302,368,126,2177:AL:SCAN
32.41222,-85.91028,53,121,65,520,236,109,2178:AL:SCAN
34.17973,-87.45618,52,110,74,172,408,282,2179:AL:SCAN
30.5238,-87.69797,51,112,30,686,182,118,2180:AL:SCAN
31.10923,-87.55277,46,126,42,544,351,97,2181:AL:SCAN
31.01912,-85.03693,59,109,29,832,82,72,2182:AL:SCAN
33.80208,-115.30505,83,43,69,762,89,49,2183:CA:SCAN
33.6547,-115.09763,84,65,126,505,118,56,2184:CA:SCAN
34.67235,-115.16693,83,40,86,721,160,74,2185:CA:SCAN
35.46607,-115.7151,84,34,82,693,174,95,2186:CA:SCAN
37.37222,-117.97383,82,105,121,616,220,85,2187:CA:SCAN
18.31865,-66.36281,50,202,123,192,337,453,2188:PR:SCAN
35.11807,-119.59608,74,102,104,627,239,128,2189:CA:SCAN
36.32502,-116.35132,89,42,88,534,175,125,2190:CA:SCAN
37.63423,-118.82643,66,109,56,687,221,17,2191:CA:SCAN
40.6175,-120.72472,71,121,276,477,297,132,2192:CA:SCAN
37.9872,-94.0364,66,130,137,172,585,248,2193:MO:SCAN
36.9973,-92.2594,59,92,53,126,689,168,2194:MO:SCAN
39.2285,-92.11942,52,141,308,27,552,402,2195:MO:SCAN
42.70785,-90.3899,71,171,197,15,707,269,2196:WI:SCAN
40.8228,-104.71068,78,112,196,476,184,213,2197:CO:SCAN
46.78373,-117.08008,57,230,162,84,689,217,2198:WA:SCAN
31.47907,-96.88162,76,185,401,96,407,496,2199:TX:SCAN
31.5496,-100.50748,79,155,181,232,340,318,2200:TX:SCAN
33.44635,-99.86657,66,144,84,680,165,142,2201:TX:SCAN
34.01635,-99.2464,76,149,192,171,475,334,2202:TX:SCAN
32.24535,-98.19563,66,98,71,614,207,116,2203:TX:SCAN
29.21578,-99.75517,79,153,194,215,356,419,2204:TX:SCAN
26.15553,-97.95927,80,125,74,601,181,150,2205:TX:SCAN
27.54945,-97.88223,74,121,272,419,187,408,2206:TX:SCAN
30.06845,-94.29283,60,199,274,208,460,322,2207:TX:SCAN
66.177,-151.742,,,,,,,2212:AK:SCAN
65.403,-164.711,50,354,220,287,582,89,2213:AK:SCAN
41.05204,-120.6872,67,132,272,353,293,221,2214:CA:SCAN
38.26477,-119.12645,68,94,94,561,269,150,2215:CA:SCAN
40.87959,-119.9534,64,153,262,409,306,303,2216:NV:SCAN
36.54417,-120.55463,73,97,255,269,305,247,2217:CA:SCAN
40.79361,-122.55083,59,144,137,456,271,269,2218:CA:SCAN
34.97018,-119.47831,74,114,170,468,304,134,2219:CA:SCAN
